createdAt,status,restaurantName,pickupDeadline,driverArrivedAtRestaurantAt,pickedAt
2021-01-24 16:48:24.336,complete,Pizza Princess Basel,2021-01-24 17:36:00.000,2021-01-24 17:09:29.218,2021-01-24 17:25:15.718
2021-01-24 16:55:27.288,complete,ByMÀ by Maria,2021-01-24 17:55:00.000,2021-01-24 17:25:38.315,2021-01-24 17:25:40.123
2021-01-24 16:55:41.478,complete,Red Pat - Craft Burgers & Beer,2021-01-24 17:47:00.000,2021-01-24 17:26:05.446,2021-01-24 17:28:36.651
2021-01-24 16:57:06.763,complete,Pizza Princess Zürich,2021-01-24 17:25:00.000,2021-01-24 17:09:59.100,2021-01-24 17:10:03.839
2021-01-24 17:07:30.273,complete,GoodFood Lausanne,2021-01-24 17:27:00.000,2021-01-24 17:26:04.770,2021-01-24 17:34:24.350
2021-01-24 17:18:41.897,complete,GoodFood Lausanne,2021-01-24 17:51:00.000,2021-01-24 17:21:51.012,2021-01-24 17:46:43.453
2021-01-24 17:24:28.606,complete,Pizza Princess SG,2021-01-24 17:57:00.000,2021-01-24 17:40:10.609,2021-01-24 17:40:16.238
2021-01-24 17:31:18.733,complete,ByMÀ by Maria,2021-01-24 17:54:00.000,2021-01-24 17:45:54.996,2021-01-24 18:03:40.475
2021-01-24 17:36:07.122,complete,GoodFood Basel 2,2021-01-24 17:57:00.000,2021-01-24 17:57:20.704,2021-01-24 18:00:31.583
2021-01-24 17:38:22.528,complete,GoodFood Basel,2021-01-24 17:59:00.000,2021-01-24 18:10:32.613,2021-01-24 18:13:47.183
2021-01-24 17:38:24.430,complete,Pizza Princess Basel,2021-01-24 18:12:00.000,2021-01-24 17:45:44.547,2021-01-24 17:57:42.140
2021-01-24 17:39:14.448,complete,Maria - Rive Gauche,2021-01-24 18:57:00.000,2021-01-24 18:23:08.646,2021-01-24 19:00:36.715
2021-01-24 17:39:44.682,error_payment,GoodFood Basel,2021-01-24 18:11:00.000,,
2021-01-24 17:41:33.079,complete,Red Pat - Craft Burgers & Beer,2021-01-24 18:09:00.000,2021-01-24 17:59:54.018,2021-01-24 18:00:29.525
2021-01-24 17:44:30.080,error_payment,GoodFood Basel 2,2021-01-24 18:12:00.000,,
2021-01-24 17:48:56.195,complete,Pizza Princess Basel,2021-01-24 18:26:00.000,2021-01-24 18:20:02.830,2021-01-24 18:27:34.720
2021-01-24 17:48:59.582,complete,GoodFood Genève,2021-01-24 18:25:00.000,2021-01-24 18:00:38.588,2021-01-24 18:04:31.098
2021-01-24 17:51:31.105,complete,GoodFood Genève,2021-01-24 18:21:00.000,2021-01-24 17:55:22.904,2021-01-24 17:59:15.426
2021-01-24 17:53:21.876,complete,GoodFood Genève,2021-01-24 18:26:00.000,2021-01-24 18:03:46.257,2021-01-24 18:12:27.817
2021-01-24 17:54:22.770,complete,Pizza Princess Neuchâtel,2021-01-24 18:26:00.000,2021-01-24 18:04:04.294,2021-01-24 18:05:20.022
2021-01-24 17:58:44.278,complete,Maria,2021-01-24 18:24:00.000,2021-01-24 18:08:29.953,2021-01-24 18:19:35.550
2021-01-24 18:00:12.440,complete,GoodFood Basel 2,2021-01-24 18:26:00.000,2021-01-24 18:14:23.974,2021-01-24 18:15:40.277
2021-01-24 18:09:36.934,complete,GoodFood Lausanne,2021-01-24 18:41:00.000,2021-01-24 18:39:28.064,2021-01-24 18:39:29.915
2021-01-24 18:10:35.688,complete,Maria,2021-01-24 18:40:00.000,2021-01-24 18:15:58.305,2021-01-24 18:40:52.881
2021-01-24 18:12:41.922,complete,Pizza Princess Genève,2021-01-24 18:42:00.000,2021-01-24 18:28:14.039,2021-01-24 18:32:21.067
2021-01-24 18:17:55.717,complete,Red Pat - Craft Burgers & Beer,2021-01-24 18:49:00.000,2021-01-24 18:49:13.222,2021-01-24 18:49:46.388
2021-01-24 18:18:26.164,complete,Maria,2021-01-24 18:42:00.000,2021-01-24 18:25:58.298,2021-01-24 18:35:44.585
2021-01-24 18:28:31.113,complete,Red Pat - Craft Burgers & Beer,2021-01-24 18:54:00.000,2021-01-24 18:32:23.558,2021-01-24 18:51:50.760
2021-01-24 18:30:58.392,complete,GoodFood Basel 2,2021-01-24 18:58:00.000,2021-01-24 19:05:58.975,2021-01-24 19:06:04.662
2021-01-24 18:31:13.215,complete,Maria - Rive Gauche,2021-01-24 18:55:00.000,2021-01-24 18:37:13.744,2021-01-24 19:12:19.392
2021-01-24 18:33:24.807,complete,Red Pat - Craft Burgers & Beer,2021-01-24 19:05:00.000,2021-01-24 18:57:14.746,2021-01-24 19:00:03.885
2021-01-24 18:34:29.389,error_payment,GoodFood Basel,2021-01-24 19:10:00.000,,
2021-01-24 18:34:36.861,complete,GoodFood Basel,2021-01-24 18:55:00.000,2021-01-24 18:47:42.762,2021-01-24 18:50:04.696
2021-01-24 18:37:16.052,complete,GoodFood Basel,2021-01-24 18:57:00.000,2021-01-24 19:11:25.230,2021-01-24 19:14:31.198
2021-01-24 18:39:10.479,complete,GoodFood Genève,2021-01-24 19:12:00.000,2021-01-24 19:15:28.821,2021-01-24 19:15:31.794
2021-01-24 18:40:01.230,complete,Maria,2021-01-24 19:20:00.000,2021-01-24 19:24:08.793,2021-01-24 19:30:58.630
2021-01-24 18:40:56.085,error_payment,Maria,2021-01-24 19:10:00.000,,
2021-01-24 18:48:16.691,complete,Red Pat - Craft Burgers & Beer,2021-01-24 19:24:00.000,2021-01-24 19:03:20.574,2021-01-24 19:07:01.751
2021-01-24 18:56:29.099,complete,Maria,2021-01-24 19:28:00.000,2021-01-24 19:06:44.156,2021-01-24 19:22:54.635
2021-01-24 19:10:02.931,complete,GoodFood Basel,2021-01-24 19:44:00.000,2021-01-24 19:43:06.301,2021-01-24 19:58:00.276
2021-01-24 19:11:25.387,complete,Red Pat - Craft Burgers & Beer,2021-01-24 19:37:00.000,2021-01-24 19:23:27.452,2021-01-24 19:24:07.755
2021-01-24 19:12:57.987,error_payment,ByMÀ by Maria,2021-01-24 19:40:00.000,,
2021-01-24 19:13:06.473,complete,Maria - Rive Gauche,2021-01-24 19:40:00.000,2021-01-24 19:27:18.144,2021-01-24 19:44:22.935
2021-01-24 19:18:44.318,complete,GoodFood Lausanne,2021-01-24 19:42:00.000,2021-01-24 19:30:41.508,2021-01-24 19:37:16.204
2021-01-24 19:23:19.516,canceled,Maria,2021-01-24 19:58:00.000,,
2021-01-24 19:24:33.282,complete,Red Pat - Craft Burgers & Beer,2021-01-24 19:56:00.000,2021-01-24 19:56:09.717,2021-01-24 19:58:05.996
2021-01-24 19:27:13.513,complete,Pizza Princess Lausanne,2021-01-24 19:56:00.000,2021-01-24 19:52:23.273,2021-01-24 19:58:28.891
2021-01-24 19:31:36.758,complete,Red Pat - Craft Burgers & Beer,2021-01-24 20:11:00.000,2021-01-24 19:52:38.249,2021-01-24 19:57:54.512
2021-01-24 19:31:51.253,error_payment,Maria - Rive Droite,2021-01-24 19:54:00.000,,
2021-01-24 19:34:25.080,complete,GoodFood Lausanne,2021-01-24 19:57:00.000,2021-01-24 19:37:53.796,2021-01-24 19:41:16.891
2021-01-24 19:35:19.767,complete,Maria,2021-01-24 20:07:00.000,2021-01-24 19:59:48.981,2021-01-24 20:01:10.837
2021-01-24 19:38:46.797,complete,Pizza Princess Genève,2021-01-24 20:09:00.000,2021-01-24 19:53:33.132,2021-01-24 19:54:33.107
